<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.16	16:00:00	3689.21	3703.12	3685.16	3686.30	34211	0	17
2025.09.16	18:00:00	3686.37	3691.19	3678.84	3689.69	25888	0	17
2025.09.16	20:00:00	3689.72	3690.97	3686.31	3690.62	16948	0	17
2025.09.16	22:00:00	3690.65	3693.75	3687.71	3689.75	8235	0	15
2025.09.17	00:00:00	3690.61	3692.80	3688.71	3691.94	1829	0	17
2025.09.17	02:00:00	3691.99	3695.30	3691.12	3691.28	7178	0	16
2025.09.17	04:00:00	3691.21	3691.99	3674.29	3682.10	23276	0	16
2025.09.17	06:00:00	3682.12	3683.47	3679.85	3680.71	7299	0	16
2025.09.17	08:00:00	3680.72	3685.82	3670.40	3675.04	16852	0	16
2025.09.17	10:00:00	3675.08	3677.25	3662.62	3664.84	17947	0	17
2025.09.17	12:00:00	3664.80	3670.86	3660.40	3661.41	17737	0	17
2025.09.17	14:00:00	3661.40	3679.31	3659.98	3678.66	21838	0	17
2025.09.17	16:00:00	3678.71	3686.09	3672.80	3684.25	27913	0	17
2025.09.17	18:00:00	3684.20	3688.55	3682.82	3684.68	15953	0	17
2025.09.17	20:00:00	3684.70	3707.51	3645.96	3650.32	38083	0	17
2025.09.17	22:00:00	3650.31	3666.88	3646.07	3659.72	28839	0	15
2025.09.18	00:00:00	3658.63	3665.32	3654.08	3662.91	4265	0	17
2025.09.18	02:00:00	3662.86	3672.02	3658.13	3665.21	12471	0	16
2025.09.18	04:00:00	3665.31	3668.75	3651.83	3664.75	22355	0	16
2025.09.18	06:00:00	3664.71	3666.05	3653.45	3653.63	10255	0	16
2025.09.18	08:00:00	3653.65	3659.12	3633.86	3637.45	23643	0	15
2025.09.18	10:00:00	3637.46	3665.70	3635.50	3665.47	19713	0	17
2025.09.18	12:00:00	3665.45	3672.93	3664.55	3667.13	15942	0	17
2025.09.18	14:00:00	3667.30	3672.39	3663.02	3663.31	18261	0	17
2025.09.18	16:00:00	3663.27	3664.17	3628.01	3638.42	36529	0	17
