<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.07	22:30:00	20176.25	20241.00	20054.75	20184.00	0	0	0
2025.03.07	23:00:00	20182.38	20182.63	20100.80	20158.18	0	0	0
2025.03.07	23:30:00	20158.93	20173.68	20153.18	20162.30	0	0	0
2025.03.10	01:00:00	20061.62	20077.37	19963.37	20011.25	0	0	0
2025.03.10	01:30:00	20011.62	20041.75	19978.25	19978.50	0	0	0
2025.03.10	02:00:00	19979.00	20027.25	19900.12	20011.75	0	0	0
2025.03.10	02:30:00	20011.50	20018.37	19973.50	19999.62	0	0	0
2025.03.10	03:00:00	19993.75	20025.12	19973.25	19987.62	0	0	0
2025.03.10	03:30:00	19988.37	20033.37	19981.12	20032.12	0	0	0
2025.03.10	04:00:00	20032.37	20062.12	20026.87	20045.25	0	0	0
2025.03.10	04:30:00	20044.37	20102.50	20044.37	20099.87	0	0	0
2025.03.10	05:00:00	20100.12	20106.87	20083.62	20088.87	0	0	0
2025.03.10	05:30:00	20088.75	20119.75	20084.37	20103.12	0	0	0
2025.03.10	06:00:00	20103.00	20117.37	20068.50	20072.12	0	0	0
2025.03.10	06:30:00	20072.25	20111.37	20069.00	20092.62	0	0	0
2025.03.10	07:00:00	20092.50	20118.62	20088.25	20113.25	0	0	0
2025.03.10	07:30:00	20112.12	20113.12	20058.00	20060.75	0	0	0
2025.03.10	08:00:00	20060.37	20098.75	20060.25	20091.00	0	0	0
2025.03.10	08:30:00	20091.25	20097.50	20044.00	20056.87	0	0	0
2025.03.10	09:00:00	20057.25	20090.60	20057.25	20078.60	0	0	0
2025.03.10	09:30:00	20077.72	20089.22	20067.97	20076.22	0	0	0
2025.03.10	10:00:00	20075.97	20105.72	20053.85	20062.10	0	0	0
2025.03.10	10:30:00	20062.72	20093.10	20051.85	20057.35	0	0	0
2025.03.10	11:00:00	20057.97	20078.85	19984.97	20009.22	0	0	0
2025.03.10	11:30:00	20010.22	20011.22	19915.47	19924.97	0	0	0
2025.03.10	12:00:00	19924.72	19991.72	19918.10	19977.72	0	0	0
2025.03.10	12:30:00	19978.10	20021.22	19947.72	19968.97	0	0	0
2025.03.10	13:00:00	19969.85	19989.85	19938.72	19941.72	0	0	0
2025.03.10	13:30:00	19942.72	19963.97	19906.72	19936.47	0	0	0
2025.03.10	14:00:00	19935.35	19986.72	19908.72	19976.97	0	0	0
2025.03.10	14:30:00	19977.35	19983.47	19887.85	19916.22	0	0	0
2025.03.10	15:00:00	19917.22	19921.35	19852.47	19855.72	0	0	0
2025.03.10	15:30:00	19854.97	19883.72	19827.47	19878.85	0	0	0
2025.03.10	16:00:00	19879.72	19906.97	19840.22	19849.85	0	0	0
2025.03.10	16:30:00	19849.10	19869.82	19710.82	19755.95	0	0	0
2025.03.10	17:00:00	19752.57	19752.57	19621.20	19634.07	0	0	0
2025.03.10	17:30:00	19634.32	19662.32	19487.57	19520.70	0	0	0
2025.03.10	18:00:00	19520.82	19601.95	19516.32	19599.57	0	0	0
2025.03.10	18:30:00	19599.82	19668.70	19541.57	19554.32	0	0	0
2025.03.10	19:00:00	19554.45	19585.82	19489.82	19546.70	0	0	0
2025.03.10	19:30:00	19545.82	19604.70	19498.82	19509.32	0	0	0
2025.03.10	20:00:00	19509.45	19518.32	19422.20	19473.57	0	0	0
2025.03.10	20:30:00	19474.20	19479.32	19389.70	19407.70	0	0	0
2025.03.10	21:00:00	19408.20	19461.82	19363.82	19397.45	0	0	0
