direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR+FIB,candle+macd,1.5,9,3,239,0.397489539748954,-0.007223384472338532,-1.7263888888889092,0.9880300068372446,-0.015143762183236046,0.0,6,10
short,FIB,candle+macd,2.5,9,5,118,0.288135593220339,-0.007948403144282445,-0.9379115710253285,0.9890861721691926,-0.25961538461538464,0.19033467316628291,5,10
long,SR,candle,2.5,14,5,526,0.28517110266159695,-0.007985737343020355,-4.200497842428707,0.9889227523003565,-0.04296875,0.025183341324338124,6,10
short,SR,candle+macd,1.5,14,5,508,0.3976377952755905,-0.008878151594687007,-4.510101010101,0.9853334866227603,0.06334841628959276,-0.06449512547073519,5,10
short,FIB,candle,2.5,9,5,153,0.2875816993464052,-0.009090464901605803,-1.390841129945688,0.9875138645526236,-0.18840579710144928,0.1382042722625513,4,10
long,SR,macd,1.5,9,3,597,0.3969849246231156,-0.009523990111073166,-5.68582209631068,0.9842579034157256,-0.09025690846010478,0.06083259703949358,4,10
long,SR+BB,macd,1.5,9,3,423,0.3971631205673759,-0.009895560511372766,-4.18582209631068,0.9836609923919324,-0.046149342903092035,0.02170618785663032,5,10
long,SR+FIB,candle+macd,1.5,14,3,202,0.3960396039603961,-0.011021727172717372,-2.226388888888909,0.981784711884822,-0.1022638888888891,0.0784313725490196,6,10
long,BB,candle+macd,1.5,9,3,883,0.3963759909399773,-0.011172281230292451,-9.865124326348234,0.9815558654365937,-0.081741906425066,0.0582872599726532,5,10
long,BB+FIB,macd,1.5,9,3,137,0.39416058394160586,-0.014598540145985401,-2.0,0.9759036144578314,-0.0625,0.018518518518518517,4,10
long,BB+FIB,candle,1.5,14,3,185,0.3945945945945946,-0.014737237237237346,-2.726388888888909,0.9757063475366012,-0.11533751493428934,0.08695652173913043,7,10
long,SR+BB+FIB,candle,1.5,14,3,165,0.393939393939394,-0.016523569023569145,-2.726388888888909,0.9727976941091694,-0.09911311914323986,0.06707317073170732,7,10
long,FIB,candle,1.5,14,3,272,0.3933823529411765,-0.017376429738562165,-4.726388888888909,0.9713944671872767,-0.13130658436214007,0.0948905109489051,6,10
short,SR,candle,1.5,14,5,596,0.3959731543624161,-0.017422605563428614,-10.383872915803455,0.9715029294992898,0.055133079847908745,-0.07472634509250288,7,10
short,SR,candle,2.5,9,5,670,0.28507462686567164,-0.018815138175701414,-12.606142577719947,0.9742787500858126,0.10925943634792375,-0.12203426966509205,5,10
short,SR+BB+FIB,candle+macd,1.5,9,3,79,0.3924050632911393,-0.0189873417721519,-1.5,0.96875,-0.16666666666666666,0.08695652173913043,3,10
long,SR+BB+FIB,candle,2.5,9,5,125,0.28,-0.02,-2.5,0.9722222222222222,-0.1694915254237288,0.11363636363636363,5,10
long,BB,candle,2.5,14,5,726,0.2809917355371901,-0.020937324851830176,-15.200497842428707,0.9710577238504652,-0.0679886685552408,0.023591158599386847,6,10
long,BB,macd,1.5,9,3,609,0.39244663382594414,-0.021670990344717145,-13.19763311993274,0.9644936315328262,-0.0854305693330111,0.03331433465436205,5,10
long,FIB,macd,1.5,14,5,69,0.391304347826087,-0.021739130434782608,-1.5,0.9642857142857143,-0.04411764705882353,0.0,4,9
short,SR+BB,candle,2.5,9,3,617,0.28038897893030795,-0.023547978388522524,-14.529102665718398,0.9674985306793705,-0.04491885118426298,-0.002791603532595691,4,10
short,BB+FIB,candle,1.5,9,3,123,0.3902439024390244,-0.024390243902439025,-3.0,0.96,-0.07894736842105263,0.022727272727272728,4,10
long,SR+FIB,candle+macd,1.5,14,5,118,0.38983050847457623,-0.025423728813559324,-3.0,0.9583333333333334,-0.09836065573770492,0.05263157894736842,7,10
long,BB,candle,2.5,9,5,854,0.2833723653395785,-0.02592095554582726,-22.13649603613648,0.9646384454738954,-0.07427477680035158,0.018313033404499923,7,10
long,SR+FIB,macd,1.5,9,3,172,0.38953488372093026,-0.02616279069767442,-4.5,0.9571428571428572,-0.03571428571428571,-0.0196078431372549,5,10
long,SR+FIB,candle,1.5,14,3,249,0.3895582329317269,-0.02701360999553779,-6.726388888888909,0.9558132532868626,-0.13489023297491057,0.08,6,10
short,SR+BB,candle+macd,2.5,14,5,315,0.2793650793650793,-0.027016193682860318,-8.510101010101,0.9627583158360041,0.04304635761589404,-0.09152500615915243,6,10
short,SR+BB+FIB,candle+macd,2.5,9,5,54,0.2777777777777778,-0.027777777777777776,-1.5,0.9615384615384616,0.0,-0.045454545454545456,4,9
short,SR+BB+FIB,candle,2.5,9,5,68,0.27941176470588236,-0.028719552337064143,-1.9529295589203617,0.9605093252040093,0.125,-0.13632323897300905,4,9
