symbol,tf,direction,k,tol,ttol,bottoms,entry,tp,slatr,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos,q_n
US100,M10,long,3,0.5,0.2,3,touch,1.5R,1.0,28,0.4642857142857143,0.1607142857142861,4.500000000000011,1.3000000000000005,0.01374129385115542,0.005167074442445882,0.16666666666666582,0.15384615384615563,3,4
US100,M10,long,3,0.5,0.2,3,touch,2.5R,0.5,28,0.42857142857142855,0.4206562381200875,11.778374667362451,1.736148416710153,0.2526138397537446,0.004548937449994771,0.4852249778241686,0.3461538461538401,3,4
US100,M10,long,3,0.5,0.2,3,touch,2.5R,1.0,28,0.35714285714285715,0.1697187527777504,4.752125077777011,1.2640069487653893,0.022745760914619724,0.005167074442445882,0.25014167185180075,0.07692307692307693,3,4
US100,M10,long,3,0.5,0.2,3,touch,3.5R,0.5,28,0.32142857142857145,0.23371457268301005,6.544008035124281,1.344421475532857,0.06567217431666697,0.004548937449994771,0.1862844459649781,0.28844164197304695,3,4
US100,M10,long,3,0.5,0.2,3,touch,3.5R,1.0,28,0.2857142857142857,0.04808522728832709,1.3463863640731586,1.0678291476495843,-0.09888776457480357,0.005167074442445882,0.16732921665846517,-0.08950399121567847,3,4
US100,M10,long,3,0.5,0.2,3,touch,measured,0.5,28,0.5357142857142857,-0.052575127751831915,-1.4721035770512936,0.8867612633037466,-0.2206175261181749,0.004548937449994771,-0.0569234370151839,-0.047557847832579596,2,4
US100,M10,long,3,0.5,0.2,3,touch,measured,1.0,28,0.5357142857142857,-0.10262490096299727,-2.8734972269639236,0.778961751772006,-0.2495978928261279,0.005167074442445882,-0.10554381594404688,-0.09925692213870926,1,4
US100,M10,long,3,0.5,0.2,3,confirm,1.5R,0.5,19,0.5263157894736842,0.3157894736842081,5.999999999999955,1.6666666666666614,0.1793289397610115,0.005922242523417142,0.38888888888888745,0.24999999999999672,3,4
US100,M10,long,3,0.5,0.2,3,confirm,1.5R,1.0,19,0.5263157894736842,0.24171444324674884,4.592574421688228,1.5102860468542474,0.12042912234474308,0.006638010231095886,0.23250826907646804,0.2500000000000015,2,4
US100,M10,long,3,0.5,0.2,3,confirm,2.5R,0.5,19,0.47368421052631576,0.4164632265822015,7.912801305061828,1.7912801305061827,0.2800026926590049,0.005922242523417142,0.434755700562424,0.40000000000000124,2,4
US100,M10,long,3,0.5,0.2,3,confirm,2.5R,1.0,19,0.47368421052631576,0.4149510781209592,7.884070484298225,1.7884070484298227,0.2936657572189535,0.006638010231095886,0.431563387144249,0.39999999999999836,2,4
US100,M10,long,3,0.5,0.2,3,confirm,3.5R,0.5,19,0.42105263157894735,0.3644361126439584,6.92428614023521,1.629480558203201,0.22797557872076174,0.005922242523417142,0.07246345547082295,0.6272115040997803,2,4
US100,M10,long,3,0.5,0.2,3,confirm,3.5R,1.0,19,0.3684210526315789,0.11685079511617853,2.220165107207392,1.1939973206791061,-0.004434525785827218,0.006638010231095886,0.04630215797299172,0.1803445685450467,2,4
US100,M10,long,3,0.5,0.2,3,confirm,measured,0.5,18,0.6666666666666666,0.041867900416664675,0.7536222074999641,1.125603701249994,-0.09948297486266688,0.005677742465393586,0.0015019224435585538,0.07416068279514956,2,4
US100,M10,long,3,0.5,0.2,3,confirm,measured,1.0,18,0.6666666666666666,0.0012392112555106613,0.022305802599191904,1.003717633766532,-0.124263343445222,0.006394607665043769,-0.037592919170767736,0.032304915596533375,2,4
US100,M10,long,3,0.5,0.4,2,touch,1.5R,0.5,221,0.38461538461538464,-0.07324215754889798,-16.186516818306455,0.8832123960921545,-0.24146657944328617,0.005257451637482563,-0.08469263695904898,-0.06249477775165099,1,4
US100,M10,long,3,0.5,0.4,2,touch,1.5R,1.0,212,0.4009433962264151,-0.02889059669311486,-6.124806498940351,0.9511066304360105,-0.17414465500976734,0.005954289857979965,-0.04035848520177896,-0.018053968102358885,2,4
