direction,level,closeback,div,entry,rr,trades,avg_r,winrate,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,PD,2,True,break,2.5,255,0.005644684460674807,0.2980392156862745,1.0078274257852196,0.005904465616578733,0.3090940404846188,-0.32516485940149364,4
long,PD,1,False,next_open,3.5,859,0.004984541726165121,0.2270081490104773,1.0063279202949604,0.0035782119828540746,0.06317555121231401,-0.05640836541113551,4
long,PD,1,False,break,2.5,517,0.0021527298277770036,0.2901353965183752,1.002976731487919,0.005308982851219613,0.07523228217331666,-0.08024972837254346,4
long,PD,1,True,next_open,3.5,347,-0.0008308789259340646,0.22478386167146974,0.9989450153135433,0.0039170365412442495,0.1773391193903459,-0.18421052631578946,4
long,PD,1,False,next_open,2.5,881,-0.001293509552065292,0.28944381384790013,0.9982156102633793,0.0036371997500739494,0.045348734966588006,-0.052256532066508314,5
short,PD,2,False,break,2.5,929,-0.006777275234917859,0.28417653390742736,0.9905438740705832,0.0042188176559209865,-0.06965096441817645,0.07281161424340217,3
long,PW,1,False,break,3.5,91,-0.00839215534807073,0.24175824175824176,0.9890205363027689,0.008242028312922546,0.5049232054859493,-0.5813953488372093,4
short,PD,1,False,next_open,3.5,1024,-0.009173255317156353,0.2216796875,0.9883151008732409,0.0024841761772338242,-0.1029297544260424,0.10623507147264888,3
long,PW,2,False,break,3.5,124,-0.009584146274715911,0.24193548387096775,0.9874314079828715,0.007990921279832863,0.4353986948988722,-0.515943931058454,5
short,PD,2,False,next_open,2.5,1297,-0.026481351009571937,0.27987663839629917,0.963532997037467,0.0027415177222335466,-0.0763824639608829,0.03463253346253102,4
long,PD,2,False,break,1.5,743,-0.030130603874884643,0.3916554508748318,0.9512144889873485,0.005916244828014568,0.050158716497478224,-0.1242710058319534,3
short,PD,1,False,next_open,2.5,1026,-0.03108519828924767,0.2787524366471735,0.9572985745078784,0.0025081830306432507,-0.13101645097299283,0.09187369088249095,3
short,PD,1,False,break,2.5,708,-0.031346002509335766,0.2768361581920904,0.9566706864674673,0.0042126827899977405,-0.1383248730964467,0.10288863128468241,3
long,PD,1,True,break,3.5,223,-0.033251494688848006,0.21973094170403587,0.9585552923867653,0.005477262153612174,0.23150086050354662,-0.3254781508917742,2
long,PD,2,True,next_open,2.5,386,-0.05286444421451471,0.2772020725388601,0.9279685239833576,0.00423296372346287,0.12610252610781708,-0.2299863942242451,4
long,PD,1,True,break,2.5,232,-0.0555654164227317,0.27586206896551724,0.9254376257780489,0.005620470487384195,0.18737704273376432,-0.34434607542007606,3
long,PW,1,False,break,2.5,91,-0.05700878489125044,0.27472527472527475,0.9213969784075183,0.008242028312922546,0.4231708453103377,-0.5930232558139535,3
long,PD,1,True,next_open,2.5,351,-0.06492397432278951,0.2706552706552707,0.9124497195027326,0.0039839334183517814,0.06506491673722711,-0.20175438596491227,2
short,PW,2,False,break,2.5,173,-0.07018233245062017,0.2658959537572254,0.9045037272760149,0.004502235494966625,-0.24056603773584906,0.1993799475528763,3
long,PD,2,True,break,1.5,267,-0.07262612962574441,0.3782771535580524,0.8865290941596181,0.006073394564151553,0.12134402400322201,-0.28968796821054016,4
long,PD,2,False,next_open,1.5,1131,-0.0796709683187793,0.3695844385499558,0.8743454512978162,0.004152749255381233,0.016737960797733688,-0.18518518518518517,1
long,PD,1,False,break,1.5,544,-0.07975558580705752,0.37316176470588236,0.8752841185351887,0.005444649498162501,-0.03473697218900077,-0.13469666936542066,1
short,PD,2,False,break,1.5,938,-0.08136583746072336,0.3678038379530917,0.8714745090733735,0.0042599859125303915,-0.12906979267619995,-0.019932451232012014,0
short,PD,2,True,next_open,3.5,634,-0.08229071789356261,0.20504731861198738,0.8971309876611616,0.002856320677820693,-0.1636656120199227,0.01004375793331735,2
short,PD,2,True,break,2.5,464,-0.08770036589786578,0.2607758620689655,0.881428311882095,0.004093932743010644,-0.1680327868852459,0.0013955919245012636,2
short,PD,1,True,next_open,3.5,554,-0.08785616452079187,0.20397111913357402,0.8904201962054245,0.002928690452064773,-0.20521916527085218,0.048761703539825216,2
short,PD,1,True,break,3.5,386,-0.08847746495868297,0.20466321243523317,0.888824599407704,0.004065004001902146,-0.19928955402748436,0.028228884166969562,2
short,PD,2,True,break,3.5,452,-0.09215110945586642,0.20353982300884957,0.8843611481371103,0.0038597781785826477,-0.1808591883510427,0.0013955919245012636,1
long,PD,1,True,break,1.5,238,-0.09618141432804099,0.3697478991596639,0.8522112291283029,0.005758822876299899,0.06238082603426388,-0.2870433703197043,3
