symbol,tf,direction,detector,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
XAUUSD,H1,short,exhaust,BB,self,2.5,19,0.3157894736842105,0.10526315789473684,2.0,1.1538461538461537,15.0,13.0,5.0,-3.0,9,10
XAUUSD,H1,short,exhaust,BB,candle,1.5,19,0.47368421052631576,0.18421052631578946,3.5,1.35,13.5,10.0,6.0,-2.5,9,10
XAUUSD,H1,short,exhaust,BB,candle,2.5,19,0.3157894736842105,0.10526315789473684,2.0,1.1538461538461537,15.0,13.0,5.0,-3.0,9,10
XAUUSD,H1,short,exhaust,SR+BB,self,1.5,12,0.5833333333333334,0.4583333333333333,5.5,2.1,10.5,5.0,5.5,0.0,7,5
XAUUSD,H1,short,exhaust,SR+BB,self,2.5,12,0.5,0.75,9.0,2.5,15.0,6.0,7.0,2.0,7,5
XAUUSD,H1,short,exhaust,SR+BB,candle,1.5,12,0.5833333333333334,0.4583333333333333,5.5,2.1,10.5,5.0,5.5,0.0,7,5
XAUUSD,H1,short,exhaust,SR+BB,candle,2.5,12,0.5,0.75,9.0,2.5,15.0,6.0,7.0,2.0,7,5
XAUUSD,H2,long,div,none,self,1.5,35,0.2571428571428571,-0.35714285714285715,-12.5,0.5192307692307693,13.5,26.0,4.5,-17.0,13,22
XAUUSD,H2,long,div,none,self,2.5,35,0.2571428571428571,-0.1,-3.5,0.8653846153846154,22.5,26.0,11.5,-15.0,13,22
XAUUSD,H2,long,div,none,candle,1.5,35,0.4857142857142857,0.21428571428571427,7.5,1.4166666666666667,25.5,18.0,3.5,4.0,14,21
XAUUSD,H2,long,div,none,candle,2.5,35,0.4857142857142857,0.7,24.5,2.361111111111111,42.5,18.0,10.5,14.0,14,21
XAUUSD,H2,long,div,SR,self,1.5,31,0.25806451612903225,-0.3548387096774194,-11.0,0.5217391304347826,12.0,23.0,4.0,-15.0,11,20
XAUUSD,H2,long,div,SR,self,2.5,31,0.25806451612903225,-0.0967741935483871,-3.0,0.8695652173913043,20.0,23.0,10.0,-13.0,11,20
XAUUSD,H2,long,div,SR,candle,1.5,31,0.5161290322580645,0.2903225806451613,9.0,1.6,24.0,15.0,5.5,3.5,12,19
XAUUSD,H2,long,div,SR,candle,2.5,31,0.5161290322580645,0.8064516129032258,25.0,2.6666666666666665,40.0,15.0,12.5,12.5,12,19
XAUUSD,H2,long,div,BB,self,1.5,25,0.24,-0.4,-10.0,0.47368421052631576,9.0,19.0,2.0,-12.0,8,17
XAUUSD,H2,long,div,BB,self,2.5,25,0.24,-0.16,-4.0,0.7894736842105263,15.0,19.0,6.0,-10.0,8,17
XAUUSD,H2,long,div,BB,candle,1.5,25,0.6,0.5,12.5,2.25,22.5,10.0,6.0,6.5,9,16
XAUUSD,H2,long,div,BB,candle,2.5,25,0.6,1.1,27.5,3.75,37.5,10.0,12.0,15.5,9,16
XAUUSD,H2,long,div,SR+BB,self,1.5,22,0.2727272727272727,-0.3181818181818182,-7.0,0.5625,9.0,16.0,3.0,-10.0,7,15
XAUUSD,H2,long,div,SR+BB,self,2.5,22,0.2727272727272727,-0.045454545454545456,-1.0,0.9375,15.0,16.0,7.0,-8.0,7,15
XAUUSD,H2,long,div,SR+BB,candle,1.5,22,0.6363636363636364,0.5909090909090909,13.0,2.625,21.0,8.0,7.0,6.0,8,14
XAUUSD,H2,long,div,SR+BB,candle,2.5,22,0.6363636363636364,1.2272727272727273,27.0,4.375,35.0,8.0,13.0,14.0,8,14
XAUUSD,H2,long,hidden,none,self,1.5,89,0.39325842696629215,-0.016853932584269662,-1.5,0.9722222222222222,52.5,54.0,-3.5,2.0,36,53
XAUUSD,H2,long,hidden,none,self,2.5,87,0.3448275862068966,0.20689655172413793,18.0,1.3157894736842106,75.0,57.0,2.5,15.5,36,51
XAUUSD,H2,long,hidden,none,candle,1.5,80,0.4625,0.11785256410256433,9.428205128205146,1.2046415850400718,55.5,46.07179487179485,-0.5,9.928205128205146,33,47
XAUUSD,H2,long,hidden,none,candle,2.5,75,0.4,0.35904273504273526,26.928205128205146,1.5601664177512276,75.0,48.07179487179485,10.0,16.928205128205146,32,43
XAUUSD,H2,long,hidden,SR,self,1.5,72,0.4027777777777778,0.006944444444444444,0.5,1.0116279069767442,43.5,43.0,-3.0,3.5,28,44
XAUUSD,H2,long,hidden,SR,self,2.5,70,0.34285714285714286,0.2,14.0,1.3043478260869565,60.0,46.0,0.0,14.0,28,42
XAUUSD,H2,long,hidden,SR,candle,1.5,64,0.484375,0.1629407051282054,10.428205128205146,1.289095820301394,46.5,36.07179487179485,-1.0,11.428205128205146,26,38
XAUUSD,H2,long,hidden,SR,candle,2.5,60,0.43333333333333335,0.4654700854700858,27.928205128205146,1.7533545441969853,65.0,37.07179487179485,9.0,18.928205128205146,26,34
XAUUSD,H2,long,hidden,BB,self,1.5,12,0.25,-0.375,-4.5,0.5,4.5,9.0,-3.5,-1.0,6,6
XAUUSD,H2,long,hidden,BB,self,2.5,12,0.25,-0.125,-1.5,0.8333333333333334,7.5,9.0,-2.5,1.0,6,6
XAUUSD,H2,long,hidden,BB,candle,1.5,12,0.3333333333333333,-0.16666666666666666,-2.0,0.75,6.0,8.0,-3.5,1.5,6,6
XAUUSD,H2,long,hidden,BB,candle,2.5,12,0.25,-0.125,-1.5,0.8333333333333334,7.5,9.0,-2.5,1.0,6,6
XAUUSD,H2,long,hidden,SR+BB,self,1.5,11,0.2727272727272727,-0.3181818181818182,-3.5,0.5625,4.5,8.0,-2.5,-1.0,5,6
XAUUSD,H2,long,hidden,SR+BB,self,2.5,11,0.2727272727272727,-0.045454545454545456,-0.5,0.9375,7.5,8.0,-1.5,1.0,5,6
XAUUSD,H2,long,hidden,SR+BB,candle,1.5,11,0.36363636363636365,-0.09090909090909091,-1.0,0.8571428571428571,6.0,7.0,-2.5,1.5,5,6
XAUUSD,H2,long,hidden,SR+BB,candle,2.5,11,0.2727272727272727,-0.045454545454545456,-0.5,0.9375,7.5,8.0,-1.5,1.0,5,6
XAUUSD,H2,long,spring,none,self,1.5,214,0.38317757009345793,-0.0445367948496953,-9.530874097834793,0.9280856316483731,123.0,132.53087409783478,1.9691259021652066,-11.5,100,114
XAUUSD,H2,long,spring,none,self,2.5,190,0.2894736842105263,0.010363820537711614,1.9691259021652066,1.0145289840065799,137.5,135.53087409783478,-1.0308740978347934,3.0,88,102
XAUUSD,H2,long,spring,none,candle,1.5,154,0.4155844155844156,0.03551380455951433,5.4691259021652066,1.0604117209368247,96.0,90.5308740978348,7.9691259021652066,-2.5,74,80
XAUUSD,H2,long,spring,none,candle,2.5,147,0.3197278911564626,0.1154362306269742,16.969125902165207,1.1687951691900258,117.5,100.5308740978348,20.469125902165207,-3.5,70,77
XAUUSD,H2,long,spring,SR,self,1.5,205,0.37073170731707317,-0.07576036145285266,-15.530874097834793,0.8800990558737039,114.0,129.53087409783478,-0.5308740978347934,-15.0,95,110
XAUUSD,H2,long,spring,SR,self,2.5,184,0.2826086956521739,-0.013754750531710835,-2.5308740978347934,0.9809035131242967,130.0,132.53087409783478,-4.0308740978347934,1.5,84,100
