direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,piv5,1,1.0,False,next_open,3.5,2835,0.21975308641975308,-0.02485430354658557,-70.4619505545701,0.9686516364047701,0.0023067003416769273,-0.12858475059772856,0.07648904116656043,3
long,piv5,1,none,False,next_open,3.5,2914,0.21997254632807137,-0.025907040779599662,-75.49311683175341,0.9673530558872531,0.002420721795386684,-0.11725748646263441,0.06260413429436779,4
long,piv5,2,1.0,False,break,3.5,1839,0.22131593257205004,-0.026970485860402325,-49.59872349727988,0.9659206310533325,0.0038912711705920405,-0.06720667025791878,0.015561051338314718,6
long,major,1,none,True,break,3.5,544,0.22242647058823528,-0.027502333867150872,-14.961269623730075,0.9649838256030061,0.004427987616562443,-0.09935736794111695,0.03636880753193009,5
long,piv3,2,1.0,True,next_open,3.5,1430,0.22447552447552446,-0.027929230906866984,-39.938800196819784,0.9653556158548888,0.00285646053020448,-0.10972994445807172,0.04985398511658418,4
long,piv5,1,1.0,False,break,3.5,1662,0.2214199759326113,-0.028386830410062517,-47.1789121415239,0.9641625276709885,0.0038903334110231393,-0.08862274048310413,0.03391346825789363,6
long,major,1,1.0,False,next_open,3.5,1419,0.21987315010570824,-0.03025733570488668,-42.9351593652342,0.9620279316419493,0.0024177678445880977,-0.11126263705100421,0.043651813906058844,2
long,major,1,none,True,next_open,3.5,825,0.22181818181818183,-0.030385941071492593,-25.06840138398139,0.9619026034290125,0.0029655853650981797,-0.08293963078505322,0.01742331832070494,3
long,piv3,2,1.0,True,break,2.5,1019,0.2806673209028459,-0.030915240183360972,-31.502629746844832,0.9576575002851332,0.004093918587451146,-0.12838073853767915,0.05795573955434754,4
long,piv5,1,none,False,break,3.5,1691,0.22117090479006504,-0.03098938432126985,-52.40304888726732,0.9609260598282826,0.0040146921499944884,-0.08905454307693633,0.029102115714678634,6
long,piv3,2,none,True,next_open,3.5,1485,0.22356902356902356,-0.034460529631116586,-51.173886502208134,0.9572065916745647,0.00303676902844285,-0.11551825486557908,0.043282169901144925,4
