direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
long,3,0.5,3,touch,1.5R,92,0.14275387616797944,0.03187017664742951,0.47826086956521735,1.3156801919658077,0.282196729377713,0.053112041961722124,4,6
short,5,1.0,3,touch,measured,133,0.11956959829464765,0.030206528587962196,0.6240601503759398,1.3468270524131514,0.14532413580415074,0.09180298754221462,6,7
long,5,1.0,3,confirm,3.5R,72,0.10334270914941263,0.029551131207563825,0.33333333333333337,1.2961535143030651,0.022337486052886702,0.15797413867962776,4,6
long,3,1.0,2,confirm,3.5R,762,0.11381379088633141,0.02420205490308508,0.3123359580052494,1.1993343209886245,0.21019049370708573,0.032801489964537925,10,12
long,5,0.5,2,touch,3.5R,444,0.11579226727710466,0.02388444968360215,0.31756756756756754,1.2525480952971157,0.09933545022879996,0.129907947172094,8,11
long,3,1.0,3,touch,3.5R,229,0.121553374685709,0.02087669970804323,0.3275109170305677,1.2325638982811122,0.12394550595282508,0.11945535791864816,7,9
long,3,0.5,2,confirm,3.5R,541,0.10973960735384883,0.019518783502485784,0.3086876155268022,1.2414564149769132,0.23328879223397467,0.005941482641634315,10,12
long,5,0.5,2,confirm,3.5R,356,0.09048358092145958,0.013833957127072905,0.3286516853932584,1.1827373283386462,0.08346296384208574,0.09648035801009142,7,10
long,3,0.5,2,touch,2.5R,695,0.12246677592696506,0.011580966857461895,0.3539568345323741,1.2718728184748511,0.16417238814770105,0.08604462401451635,10,12
long,5,1.0,2,touch,2.5R,672,0.09384857271072211,0.005190424880740577,0.3556547619047619,1.209099801851028,0.1757138162688472,0.02289869496034707,10,12
long,5,1.0,3,touch,1.5R,111,0.07753255827685818,-0.0038703500734785417,0.4414414414414414,1.246120965644133,-0.11181563779838732,0.2165851397696166,5,7
short,3,1.0,3,touch,measured,324,0.09372124274454706,-0.007848659941006298,0.6296296296296295,1.427682687257354,0.0861689554958761,0.10155852196486599,8,11
long,3,1.0,2,touch,2.5R,983,0.09557920227063518,-0.009015577301370028,0.3458799593082401,1.1749393079642965,0.17271417237272124,0.029108726140996712,10,12
long,5,0.5,2,touch,2.5R,460,0.08135655761445736,-0.00977903248752356,0.3521739130434783,1.2234285000382978,0.09564481334920076,0.06914240351862831,8,11
long,3,1.0,3,confirm,1.5R,172,0.07323004359633524,-0.013527291797958446,0.4476744186046512,1.2064303220523924,0.06652303072483484,0.07892739861621191,6,8
long,5,1.0,2,confirm,2.5R,540,0.06107763675524212,-0.01544618909236646,0.35000000000000003,1.186473281074121,0.0922480384204858,0.035190354016310946,9,12
long,5,1.0,2,touch,1.5R,729,0.07101062809581558,-0.017529213476601357,0.4375857338820302,1.1861594319092923,0.12793318429103637,0.019018372043487962,9,12
long,5,1.0,3,confirm,1.5R,80,0.046757961643393464,-0.023619351279884987,0.425,1.2787858909334273,-0.0641984510858146,0.12876922322585158,4,7
long,3,1.0,2,confirm,2.5R,794,0.06077146202165952,-0.02781778179526437,0.3438287153652393,1.1177554675330375,0.14161070102409698,-0.00696882621649401,9,12
short,3,0.5,3,touch,measured,156,0.08922594521511634,-0.02838051476147132,0.641025641025641,1.3843669463354198,0.11103577316114596,0.0650582980316781,4,8
short,5,1.0,2,touch,measured,882,0.06831288163880299,-0.03373961490832066,0.6190476190476191,1.2478172401209322,0.01203501429602643,0.12160914011573706,6,12
long,5,0.5,2,touch,1.5R,476,0.055580635316901036,-0.035223746616003346,0.43067226890756305,1.2019409708859465,0.11642827202417771,0.0019481333970484554,7,11
long,3,1.0,3,touch,2.5R,230,0.06355072425658129,-0.03690400260346806,0.3521739130434783,1.1246929897183575,0.09229273960963334,0.038106972960436844,7,9
short,5,0.5,3,touch,measured,37,0.07173863032549639,-0.038784662522882714,0.5945945945945946,1.2173840582364848,-0.016163665856673927,0.20066199805934615,3,4
short,3,1.0,3,touch,1.5R,311,0.06302506730221973,-0.03915597318389499,0.4340836012861736,1.2035633871612554,0.022806345164650715,0.1045581267645459,5,11
short,3,1.0,2,touch,measured,1430,0.075912578143731,-0.04001506157782984,0.6321678321678321,1.2459714035349372,0.0487437689600798,0.10103367088823759,7,12
long,3,1.0,2,touch,1.5R,1097,0.06433392978294833,-0.04022110230752262,0.4339106654512305,1.1427925781870167,0.11627087975743032,0.0182074819570745,10,12
long,5,0.5,2,confirm,2.5R,365,0.03410514529612235,-0.04212036219026924,0.3452054794520548,1.1034821680996931,0.02549601510006551,0.04128663078630044,7,10
