symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,short,PD,2,False,next_open,1.5,172,0.4069767441860465,-0.007876848436153678,-1.3548179310184327,0.9872613393791227,105.0,106.35481793101843,0.0014426218184018112,7.341747572815507,-8.69656550383394,82,90
US100,M15,short,PD,2,False,next_open,2.5,171,0.2982456140350877,0.018392877596383434,3.1451820689815673,1.0252920001115378,127.5,124.35481793101843,0.001447474586209066,8.341747572815507,-5.19656550383394,82,89
US100,M15,short,PD,2,False,next_open,3.5,171,0.24561403508771928,0.07414870552236294,12.679428644324062,1.095080394102318,146.0342465753425,133.35481793101843,0.001447474586209066,2.841747572815506,9.837681071508554,82,89
US100,M15,short,PD,2,False,break,1.5,118,0.3728813559322034,-0.06779661016949153,-8.0,0.8918918918918919,66.0,74.0,0.002535755013418268,6.5,-14.5,61,57
US100,M15,short,PD,2,False,break,2.5,117,0.26495726495726496,-0.07670883038530076,-8.974933155080189,0.8956403121502303,77.0250668449198,86.0,0.0025340771262548937,3.0,-11.974933155080189,60,57
US100,M15,short,PD,2,False,break,3.5,117,0.24786324786324787,0.10277834910187875,12.025066844919813,1.1366484868740887,100.0250668449198,88.0,0.0025340771262548937,12.0,0.02506684491981126,60,57
US100,M15,short,PD,1,True,next_open,1.5,73,0.3561643835616438,-0.12552504889474644,-9.16332856931649,0.8097446990996758,39.0,48.16332856931649,0.0011785279321187621,-3.158252427184494,-6.005076142131998,30,43
US100,M15,short,PD,1,True,next_open,2.5,73,0.2465753424657534,-0.15292230916871905,-11.16332856931649,0.8012345625929423,45.0,56.16332856931649,0.0011785279321187621,-2.658252427184494,-8.505076142131998,30,43
US100,M15,short,PD,1,True,next_open,3.5,73,0.1780821917808219,-0.2145661447851574,-15.66332856931649,0.7439098077933215,45.5,61.16332856931649,0.0011785279321187621,-12.658252427184493,-3.0050761421319976,30,43
US100,M15,short,PD,1,True,break,1.5,48,0.2708333333333333,-0.3229166666666667,-15.5,0.5571428571428572,19.5,35.0,0.001972638658542407,-8.5,-7.0,21,27
US100,M15,short,PD,1,True,break,2.5,48,0.16666666666666666,-0.4166666666666667,-20.0,0.5,20.0,40.0,0.001972638658542407,-14.0,-6.0,21,27
US100,M15,short,PD,1,True,break,3.5,48,0.16666666666666666,-0.25,-12.0,0.7,28.0,40.0,0.001972638658542407,-12.0,0.0,21,27
US100,M15,short,PD,2,True,next_open,1.5,86,0.37209302325581395,-0.08329451824786617,-7.163328569316491,0.8701432862174864,48.0,55.16332856931649,0.0011636720741728906,-0.15825242718449406,-7.005076142131998,37,49
US100,M15,short,PD,2,True,next_open,2.5,86,0.26744186046511625,-0.0774805647594941,-6.663328569316492,0.8961505159116238,57.5,64.16332856931649,0.0011636720741728906,4.341747572815506,-11.005076142131998,37,49
US100,M15,short,PD,2,True,next_open,3.5,86,0.20930232558139536,-0.07166661127112199,-6.163328569316492,0.9108873344182746,63.0,69.16332856931649,0.0011636720741728906,-1.658252427184494,-4.505076142131998,37,49
US100,M15,short,PD,2,True,break,1.5,60,0.3333333333333333,-0.16666666666666666,-10.0,0.75,30.0,40.0,0.0018586861815940122,-3.0,-7.0,28,32
US100,M15,short,PD,2,True,break,2.5,60,0.23333333333333334,-0.18333333333333332,-11.0,0.7608695652173914,35.0,46.0,0.0018586861815940122,-3.5,-7.5,28,32
US100,M15,short,PD,2,True,break,3.5,60,0.21666666666666667,-0.025,-1.5,0.9680851063829787,45.5,47.0,0.0018586861815940122,-1.0,-0.5,28,32
