symbol,tf,direction,variant,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,short,11_mtf,2.5,62,0.22580645161290322,-0.23320599886813748,-14.458771929824524,0.7076601103169401,35.0,49.45877192982452,3.0,-17.458771929824522,25,37
US100,M15,short,12_obv,2.5,453,0.23841059602649006,-0.1790181786626583,-81.0952349341842,0.7690221146140415,270.0,351.0952349341842,-59.434140968228014,-21.6610939659562,188,265
US100,M15,short,12_obv_bb,2.5,251,0.23904382470119523,-0.16266813950671205,-40.82970301618472,0.7860411541240943,150.0,190.82970301618474,-31.114770889487875,-9.714932126696848,119,132
US100,M15,short,03_reentry,2.5,276,0.2246376811594203,-0.22640134125483885,-62.48677018633553,0.7126870285820194,155.0,217.48677018633555,-5.612857142857267,-56.87391304347826,132,144
US100,M15,short,07_bos,2.5,257,0.3229571984435798,0.09214560754615596,23.68142113936208,1.1329166964722888,201.8488129560806,178.1673918167185,8.1498608870726,15.53156025228948,122,135
US100,M15,short,07_retest,2.5,231,0.30303030303030304,0.025955338808237274,5.99568326470281,1.0358665082498921,173.16231189019348,167.16662862549066,-8.425561469315491,14.4212447340183,108,123
US100,M15,short,08_choch,2.5,88,0.3181818181818182,0.09401997634593627,8.273757918442392,1.1391491979136565,67.73337423312884,59.45961631468645,1.0403836853135529,7.233374233128839,45,43
US100,M30,long,00_base_div,1.5,109,0.3761467889908257,-0.05963302752293578,-6.5,0.9044117647058824,61.5,68.0,2.5,-9.0,55,54
US100,M30,long,00_base_hid,1.5,46,0.391304347826087,-0.021739130434782608,-1.0,0.9642857142857143,27.0,28.0,8.0,-9.0,22,24
US100,M30,long,02_fib_deep,1.5,22,0.36363636363636365,-0.09090909090909091,-2.0,0.8571428571428571,12.0,14.0,-3.0,1.0,13,9
US100,M30,long,04a_hvn,1.5,25,0.44,0.1,2.5,1.1785714285714286,16.5,14.0,4.0,-1.5,11,14
US100,M30,long,04b_avwap,1.5,4,0.25,-0.375,-1.5,0.5,1.5,3.0,-1.0,-0.5,1,3
US100,M30,long,05_triple_reg,1.5,68,0.38235294117647056,-0.04411764705882353,-3.0,0.9285714285714286,39.0,42.0,-0.5,-2.5,33,35
US100,M30,long,05_triple_hid,1.5,209,0.39712918660287083,-0.007177033492822967,-1.5,0.9880952380952381,124.5,126.0,-2.0,0.5,102,107
US100,M30,long,06_ma200,1.5,210,0.3619047619047619,-0.09523809523809523,-20.0,0.8507462686567164,114.0,134.0,-11.0,-9.0,91,119
US100,M30,long,06_ma200_bb,1.5,34,0.38235294117647056,-0.04411764705882353,-1.5,0.9285714285714286,19.5,21.0,3.5,-5.0,14,20
US100,M30,long,10_wave5,1.5,78,0.358974358974359,-0.10256410256410256,-8.0,0.84,42.0,50.0,-6.5,-1.5,34,44
US100,M30,long,11_mtf,1.5,25,0.4,0.0,0.0,1.0,15.0,15.0,-2.5,2.5,10,15
US100,M30,long,12_obv,1.5,260,0.4307692307692308,0.07692307692307693,20.0,1.135135135135135,168.0,148.0,1.0,19.0,124,136
US100,M30,long,12_obv_bb,1.5,196,0.4489795918367347,0.12244897959183673,24.0,1.2222222222222223,132.0,108.0,12.5,11.5,100,96
US100,M30,long,03_reentry,1.5,154,0.2922077922077922,-0.2694805194805195,-41.5,0.6192660550458715,67.5,109.0,-12.5,-29.0,75,79
US100,M30,long,07_bos,1.5,118,0.4067796610169492,0.016047834101340086,1.89364442395813,1.027052063199402,71.89364442395814,70.0,5.393644423958129,-3.5,57,61
US100,M30,long,07_retest,1.5,102,0.39215686274509803,-0.0196078431372549,-2.0,0.967741935483871,60.0,62.0,3.5,-5.5,49,53
US100,M30,long,08_choch,1.5,21,0.5714285714285714,0.3180720843043283,6.679513770390894,1.7283974977477048,15.849663024122236,9.170149253731344,6.849663024122238,-0.17014925373134382,11,10
US100,M30,long,00_base_div,2.5,108,0.2777777777777778,-0.06889550264550229,-7.440714285714248,0.9097446649973578,75.0,82.44071428571425,1.0592857142857524,-8.5,54,54
US100,M30,long,00_base_hid,2.5,46,0.3695652173913043,0.29347826086956524,13.5,1.4655172413793103,42.5,29.0,16.5,-3.0,22,24
US100,M30,long,02_fib_deep,2.5,22,0.22727272727272727,-0.40639610389610215,-8.940714285714247,0.5830029649865087,12.5,21.440714285714247,-13.940714285714247,5.0,13,9
US100,M30,long,04a_hvn,2.5,25,0.36,0.26,6.5,1.40625,22.5,16.0,6.5,0.0,11,14
US100,M30,long,04b_avwap,2.5,4,0.25,-0.125,-0.5,0.8333333333333334,2.5,3.0,-1.0,0.5,1,3
US100,M30,long,05_triple_reg,2.5,67,0.3283582089552239,0.08297441364605602,5.559285714285753,1.1124434748688914,55.0,49.44071428571425,1.0592857142857532,4.5,33,34
US100,M30,long,05_triple_hid,2.5,206,0.32038834951456313,0.12135922330097088,25.0,1.1785714285714286,165.0,140.0,7.5,17.5,101,105
US100,M30,long,06_ma200,2.5,201,0.30845771144278605,0.06890446958754616,13.84979838709678,1.099638837317243,152.84979838709677,139.0,4.5,9.34979838709678,90,111
US100,M30,long,06_ma200_bb,2.5,34,0.38235294117647056,0.3382352941176471,11.5,1.5476190476190477,32.5,21.0,10.5,1.0,14,20
US100,M30,long,10_wave5,2.5,78,0.2564102564102564,-0.20052856954528084,-15.641228424531906,0.7617163968447862,50.0,65.6412284245319,-13.940714285714247,-1.7005141388176606,34,44
US100,M30,long,11_mtf,2.5,25,0.32,-0.008020565552706423,-0.20051413881766056,0.9900738101297952,20.0,20.20051413881766,0.5,-0.7005141388176606,10,15
US100,M30,long,12_obv,2.5,254,0.3543307086614173,0.20128331553233345,51.125962145212696,1.2978652775588355,222.7671905697446,171.6412284245319,19.559285714285753,31.566676430926947,123,131
US100,M30,long,12_obv_bb,2.5,193,0.36787564766839376,0.24797290971745128,47.8587715754681,1.3691632064665922,177.5,129.6412284245319,28.559285714285753,19.29948586118234,100,93
US100,M30,long,03_reentry,2.5,154,0.21428571428571427,-0.25,-38.5,0.6818181818181818,82.5,121.0,-19.0,-19.5,75,79
US100,M30,long,07_bos,2.5,108,0.3055555555555556,-0.0015193100532997247,-0.16408548575637028,0.997857577628127,76.42468053469429,76.58876602045065,-0.1905560042388892,0.026470518482518912,51,57
US100,M30,long,07_retest,2.5,95,0.30526315789473685,0.017872005646341588,1.6978405364024507,1.0249852191659574,69.6516385449373,67.95379800853486,3.0836544623117703,-1.3858139259093178,46,49
US100,M30,long,08_choch,2.5,21,0.47619047619047616,0.46092922716147117,9.679513770390894,1.866551874153113,20.849663024122236,11.170149253731344,9.349663024122238,0.3298507462686562,11,10
US100,M30,short,00_base_div,1.5,93,0.34408602150537637,-0.14145516946253706,-13.155330760015946,0.784886606015758,48.0,61.15533076001594,-6.655330760015947,-6.5,44,49
US100,M30,short,00_base_hid,1.5,16,0.4375,0.09375,1.5,1.1666666666666667,10.5,9.0,-2.5,4.0,10,6
US100,M30,short,02_fib_deep,1.5,29,0.3103448275862069,-0.22413793103448276,-6.5,0.675,13.5,20.0,-2.0,-4.5,12,17
US100,M30,short,04a_hvn,1.5,20,0.5,0.25,5.0,1.5,15.0,10.0,2.0,3.0,8,12
US100,M30,short,04b_avwap,1.5,5,0.8,1.0,5.0,6.0,6.0,1.0,-1.0,6.0,1,4
US100,M30,short,05_triple_reg,1.5,58,0.43103448275862066,0.07758620689655173,4.5,1.1363636363636365,37.5,33.0,2.0,2.5,23,35
US100,M30,short,05_triple_hid,1.5,130,0.3923076923076923,-0.019230769230769232,-2.5,0.9683544303797469,76.5,79.0,4.0,-6.5,66,64
US100,M30,short,06_ma200,1.5,110,0.42727272727272725,0.06818181818181818,7.5,1.119047619047619,70.5,63.0,6.0,1.5,64,46
US100,M30,short,06_ma200_bb,1.5,4,1.0,1.5,6.0,inf,6.0,-0.0,3.0,3.0,2,2
US100,M30,short,10_wave5,1.5,113,0.336283185840708,-0.17489402997987258,-19.7630253877256,0.7425449910565184,57.0,76.7630253877256,-6.47933076001593,-13.283694627709671,53,60
US100,M30,short,11_mtf,1.5,39,0.41025641025641024,0.02564102564102564,1.0,1.0434782608695652,24.0,23.0,-5.0,6.0,15,24
US100,M30,short,12_obv,1.5,259,0.37065637065637064,-0.08378972174363623,-21.701537931601784,0.8690323686641959,144.0,165.7015379316018,-13.335460992907796,-8.366076938693986,117,142
US100,M30,short,12_obv_bb,1.5,152,0.3092105263157895,-0.23959107436771127,-36.41784330389211,0.6593847932343544,70.5,106.91784330389211,-19.335460992907798,-17.082382310984315,73,79
US100,M30,short,03_reentry,1.5,156,0.32051282051282054,-0.1987179487179487,-31.0,0.7075471698113207,75.0,106.0,-20.0,-11.0,75,81
US100,M30,short,07_bos,1.5,144,0.4305555555555556,0.07249345651580155,10.439057738275423,1.128395438201305,91.74301903562699,81.30396129735158,6.378647378832843,4.060410359442579,72,72
US100,M30,short,07_retest,1.5,121,0.4380165289256198,0.08415754503100982,10.183062948752188,1.1487524735036114,78.63949065652389,68.4564277077717,-0.5,10.683062948752188,58,63
