symbol,tf,direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_avg_r,h2_avg_r,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,BB,candle+macd,2.5,9,3,247,0.3076923076923077,0.07059850480903107,17.437830687830676,1.1010524540653241,190.0,172.56216931216932,-0.04032258064516129,0.18242138770594046,-5.0,22.437830687830676,124,123
US100,M15,long,FIB,candle,1.5,9,3,82,0.4146341463414634,0.036585365853658534,3.0,1.0625,51.0,48.0,-0.07608695652173914,0.18055555555555555,-3.5,6.5,46,36
US100,M15,long,FIB,candle,2.5,9,3,82,0.3170731707317073,0.10975609756097561,9.0,1.1607142857142858,65.0,56.0,-0.010869565217391304,0.2638888888888889,-0.5,9.5,46,36
US100,M15,long,FIB,macd,1.5,9,3,46,0.34782608695652173,-0.13043478260869565,-6.0,0.8,24.0,30.0,-0.038461538461538464,-0.25,-1.0,-5.0,26,20
US100,M15,long,FIB,macd,2.5,9,3,46,0.2608695652173913,-0.08695652173913043,-4.0,0.8823529411764706,30.0,34.0,0.07692307692307693,-0.3,2.0,-6.0,26,20
US100,M15,long,FIB,candle+macd,1.5,9,3,64,0.375,-0.0625,-4.0,0.9,36.0,40.0,0.08974358974358974,-0.3,3.5,-7.5,39,25
US100,M15,long,FIB,candle+macd,2.5,9,3,64,0.28125,-0.015625,-1.0,0.9782608695652174,45.0,46.0,0.16666666666666666,-0.3,6.5,-7.5,39,25
US100,M15,long,SR+BB,candle,1.5,9,3,210,0.4142857142857143,0.028275384227765123,5.937830687830676,1.0476696152661704,130.5,124.56216931216932,-0.027777777777777776,0.08762579105716349,-3.0,8.937830687830676,108,102
US100,M15,long,SR+BB,candle,2.5,9,3,207,0.32367149758454106,0.1253035298929018,25.937830687830676,1.18322572205455,167.5,141.56216931216932,0.02358490566037736,0.23205772958248194,2.5,23.437830687830676,106,101
US100,M15,long,SR+BB,macd,1.5,9,3,122,0.3770491803278688,-0.05737704918032787,-7.0,0.9078947368421053,69.0,76.0,0.015625,-0.13793103448275862,1.0,-8.0,64,58
US100,M15,long,SR+BB,macd,2.5,9,3,121,0.2892561983471074,0.008581423741548183,1.0383522727273302,1.0120093972301178,87.5,86.46164772727266,0.10378336940837032,-0.09482758620689655,6.53835227272733,-5.5,63,58
