detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
pinbar,long,SR,candle,2.5,6213,0.3104780299372284,0.07873162383118694,489.1595788631644,1.1131429700570774,0.10793632410056131,0.04885172534653234,8
hidden,long,BB,candle,1.5,311,0.43086816720257237,0.07711360821696774,23.982332155476968,1.1354798786330242,0.1774193548387097,-0.022549152849506624,6
exhaust,long,none,candle,1.5,1231,0.4337936636880585,0.07191456661560797,88.52683150381341,1.1242528637122806,0.11799810112372809,0.02119122231912762,8
exhaust,long,none,self,1.5,1231,0.4337936636880585,0.07191456661560797,88.52683150381341,1.1242528637122806,0.11799810112372809,0.02119122231912762,8
keyrev,long,SR,candle,2.5,761,0.30749014454664914,0.07173189150233629,54.58796943327792,1.1030856554759372,-0.025804769801798046,0.17372587334993914,5
keyrev,long,SR,self,2.5,761,0.30749014454664914,0.07173189150233629,54.58796943327792,1.1030856554759372,-0.025804769801798046,0.17372587334993914,5
exhaust,long,SR,candle,1.5,963,0.43198338525441327,0.06722265649127718,64.73541820109992,1.1157509706637874,0.10943642329620164,0.021824661586843312,8
exhaust,long,SR,self,1.5,963,0.43198338525441327,0.06722265649127718,64.73541820109992,1.1157509706637874,0.10943642329620164,0.021824661586843312,8
failswing,long,SR+BB,candle,2.5,301,0.30564784053156147,0.0671600722361944,20.215181743094515,1.0963615094317203,0.04814342212352095,0.085801393728223,6
hidden,short,SR+BB,candle,1.5,138,0.43478260869565216,0.06620517428534037,9.13631405137697,1.1145745786483487,-0.17801496295679645,0.40306053599863256,5
keyrev,long,BB,candle,2.5,558,0.3064516129032258,0.06172624097470761,34.44324246388685,1.0884206908628762,0.08336440085085856,0.04201476656698107,6
exhaust,short,SR+BB,self,2.5,272,0.30514705882352944,0.061431956566245456,16.709492186018764,1.0875803119215466,0.18215507401814113,-0.04275374753607545,7
exhaust,short,SR+BB,candle,2.5,272,0.30514705882352944,0.061431956566245456,16.709492186018764,1.0875803119215466,0.18215507401814113,-0.04275374753607545,7
hidden,long,SR+BB,candle,1.5,290,0.4241379310344828,0.060283903984403336,17.482332155476968,1.1046735496974565,0.1619718309859155,-0.037281539490020485,5
keyrev,short,SR+BB,self,2.5,484,0.3037190082644628,0.05998725011781757,29.033829057023702,1.0857805936000475,0.11455944976573652,0.012578968570397624,6
keyrev,short,SR+BB,candle,2.5,484,0.3037190082644628,0.05998725011781757,29.033829057023702,1.0857805936000475,0.11455944976573652,0.012578968570397624,6
keyrev,long,BB,self,2.5,559,0.30590339892665475,0.0598269095955042,33.44324246388685,1.085633715066076,0.07930685627838342,0.04201476656698107,6
failswing,long,SR,candle,2.5,1881,0.30196703880914405,0.051741261063491695,97.32531206042788,1.0736974548217542,0.04629467014963019,0.05693333838324751,8
failswing,long,none,candle,2.5,2343,0.30217669654289375,0.049813572737118915,116.71320092306962,1.0708152288491437,0.04728501213420987,0.05231850193252413,8
pinbar,long,SR+BB,candle,2.5,1665,0.2996996996996997,0.04882732554250369,81.29749702826865,1.0697113038439767,0.12583515332320794,-0.02103544605236202,7
div,long,BB,candle,2.5,892,0.30269058295964124,0.048582447940682845,43.3355435630891,1.068605322210998,0.07610250416757271,0.022032261536767083,6
hidden,long,SR,candle,1.5,1742,0.4190585533869116,0.045110700103469084,78.58283958024315,1.0773135702941008,0.07249530956644586,0.01772609064049231,7
pinbar,long,none,self,2.5,9821,0.3018022604622747,0.04393016996280017,431.43819920466046,1.0618924790964395,0.0665089852317487,0.021245350866297877,9
keyrev,short,SR,self,2.5,1047,0.29894937917860553,0.042984376990212216,45.004642708752186,1.0611037565425465,0.018404516264465716,0.065798833354441,6
keyrev,short,SR,candle,2.5,1047,0.2979942693409742,0.039641492558502564,41.504642708752186,1.0562753262150895,0.018404516264465716,0.05935316116291246,6
div,long,SR+BB,candle,2.5,688,0.29941860465116277,0.03856985131091099,26.53605770190676,1.0543255200722936,0.08527004891103734,-0.008130346289215362,6
spring,long,SR+BB,self,2.5,2797,0.29746156596353235,0.03544430148528999,99.1377112543561,1.050218879644976,0.03677039248987439,0.03413423290222509,4
exhaust,short,BB,candle,2.5,442,0.3009049773755656,0.034916037204685786,15.432888444471118,1.0489945303896373,0.11074849150993793,-0.04230148475910976,6
exhaust,short,BB,self,2.5,442,0.3009049773755656,0.034916037204685786,15.432888444471118,1.0489945303896373,0.11074849150993793,-0.04230148475910976,6
spring,long,BB,self,2.5,3075,0.2969105691056911,0.0338664111915121,104.13921441389971,1.0479639574031723,0.03344147468572288,0.03427962719072727,5
wbottom,long,none,candle,1.5,3030,0.4174917491749175,0.0337908383653233,102.3862402469296,1.0570360734469626,0.08027444545349655,-0.013435021929846717,8
keyrev,long,none,candle,2.5,917,0.2966194111232279,0.030575445968946468,28.03768395352391,1.0432384162805608,-0.060896787342633894,0.12224740031395823,5
keyrev,long,none,self,2.5,918,0.2962962962962963,0.029452814764187266,27.03768395352391,1.041632059611468,-0.06293831606580208,0.12224740031395823,5
keyrev,short,SR,self,1.5,1067,0.4114339268978444,0.026515803161900893,28.292361973748253,1.0448937148117676,-0.016153815915280433,0.06543844852083512,6
hidden,long,none,candle,1.5,2055,0.41119221411192214,0.025792136048780098,53.002839580243105,1.043641797863014,0.03841416146547902,0.01305906642020406,7
pinbar,long,SR,self,2.5,8068,0.29697570649479427,0.02406693772035342,194.17205352781139,1.033540522945212,0.0500748930288331,-0.002239288828263405,9
wbottom,long,SR,candle,1.5,2511,0.4129828753484667,0.020859760161936317,52.37885776662209,1.0348467307756686,0.06783713081057761,-0.025633691454666672,6
