symbol,tf,direction,k,tol,bottoms,entry,tp,trades,winrate,avg_r,sum_r,pf,net05_avg_r,risk_pct,h1_avg_r,h2_avg_r,h1_n,h2_n
US100,M10,long,3,0.5,3,confirm,measured,18,0.6666666666666666,0.041867900416664675,0.7536222074999641,1.125603701249994,-0.09948297486266688,0.005677742465393586,0.0015019224435585538,0.07416068279514956,8,10
US100,M10,long,3,1.0,2,touch,1.5R,298,0.3959731543624161,-0.03886223489634146,-11.580945999109755,0.9368433552991835,-0.19974305235226858,0.00528157374010945,-0.042056881719216475,-0.03603153517986993,140,158
US100,M10,long,3,1.0,2,touch,2.5R,273,0.30036630036630035,-0.04767244558743144,-13.014577645368782,0.9323724489557494,-0.2078493540124851,0.005374287036740693,-0.04630802531805925,-0.0488768993424634,128,145
US100,M10,long,3,1.0,2,touch,3.5R,264,0.2727272727272727,0.0036927502917533713,0.97488607702289,1.0050396058574493,-0.1530777904771892,0.005445527485584176,0.04324261573932917,-0.031337130533242344,124,140
US100,M10,long,3,1.0,2,touch,measured,330,0.5969696969696969,0.040080844218755914,13.226678592189451,1.0992805004597908,-0.11967448970691186,0.005201176841534122,0.04191541145081826,0.03841594794457216,157,173
US100,M10,long,3,1.0,2,confirm,1.5R,237,0.3924050632911392,-0.04445574616563868,-10.536011841256368,0.9266863722006173,-0.18223564125830952,0.0061192266329596606,0.02393388303835902,-0.10677855342412047,113,124
US100,M10,long,3,1.0,2,confirm,2.5R,220,0.3090909090909091,-0.06805077165453292,-14.971169763997242,0.902242430592953,-0.20691596711584612,0.006177052471324247,-0.028574181438451585,-0.10094793016793399,100,120
US100,M10,long,3,1.0,2,confirm,3.5R,212,0.2830188679245283,-0.045190008883079814,-9.58028188321292,0.9373420668531328,-0.18584860065268222,0.006028718218704229,0.04654844761705008,-0.11967849920369812,95,117
US100,M10,long,3,1.0,2,confirm,measured,255,0.6431372549019608,-0.012414273426248183,-3.1656397236932867,0.9653528203909723,-0.15107899015448958,0.005997768915259424,0.013767496450008816,-0.03643063376386739,122,133
US100,M10,long,3,1.0,3,touch,1.5R,69,0.391304347826087,-0.07198507605875122,-4.966970248053834,0.8889346127742822,-0.23973200479195222,0.004799448364259308,-0.07142857142857599,-0.07255794847216684,35,34
US100,M10,long,3,1.0,3,touch,2.5R,67,0.26865671641791045,-0.1987185355630196,-13.314141882722314,0.7441072599544144,-0.3674289363050618,0.0047871032395310825,0.0030646702224284895,-0.4194189168908535,35,32
US100,M10,long,3,1.0,3,touch,3.5R,67,0.22388059701492538,-0.23206729126806996,-15.548508514960687,0.7174548163196892,-0.40077769201011215,0.0047871032395310825,-0.03933841486008763,-0.44286449983930065,35,32
US100,M10,long,3,1.0,3,touch,measured,69,0.4927536231884058,-0.11616162992087749,-8.015152464540547,0.7663859154137264,-0.2839085586540785,0.004799448364259308,-0.18052103796333183,-0.04990929811246863,35,34
US100,M10,long,3,1.0,3,confirm,1.5R,49,0.3877551020408163,-0.08542623763782041,-4.1858856442532,0.8690133209076992,-0.22783566028027155,0.005430777599253736,0.14583333333332912,-0.307435425770124,24,25
US100,M10,long,3,1.0,3,confirm,2.5R,48,0.3125,-0.1108290564924355,-5.319794711636904,0.8491761921409069,-0.25390275563561054,0.005449670921200745,0.2550474318528782,-0.44743542577012413,23,25
US100,M10,long,3,1.0,3,confirm,3.5R,48,0.2708333333333333,-0.16802740398752844,-8.065315391401365,0.7836068560205176,-0.31110110313070344,0.005449670921200745,0.03688935703712818,-0.3565508241302125,23,25
US100,M10,long,3,1.0,3,confirm,measured,46,0.5434782608695652,-0.12560166527436564,-5.7776766026208195,0.716661999641885,-0.27243536715448735,0.005239894190415864,-0.0999274642667498,-0.14913634953134677,22,24
US100,M10,long,5,0.5,2,touch,1.5R,126,0.35714285714285715,-0.12985101900165125,-16.36122839420806,0.7968649821823367,-0.2671155610571728,0.005876733572840373,-0.11737870318948414,-0.14118948792180322,60,66
US100,M10,long,5,0.5,2,touch,2.5R,121,0.2892561983471074,-0.1532264723429273,-18.540403153494204,0.7832637369165348,-0.29216749725314045,0.005739284526791336,-0.23589507940028737,-0.07959974418246599,57,64
US100,M10,long,5,0.5,2,touch,3.5R,119,0.23529411764705882,-0.2792317326192924,-33.22857618169579,0.639966030819161,-0.4182874988157087,0.005771013180469373,-0.43043285869917,-0.1402242457394049,57,62
US100,M10,long,5,0.5,2,touch,measured,130,0.5230769230769231,-0.07036489353067996,-9.147436158988395,0.8513666062773202,-0.20643660475139514,0.005859691232657605,-0.024338046542538558,-0.11364386905684278,63,67
US100,M10,long,5,0.5,2,confirm,1.5R,99,0.32323232323232326,-0.22932337227341157,-22.703013855067745,0.6590643531167795,-0.33644323226703204,0.007356282085195837,-0.24187402711038972,-0.2196862623093033,43,56
US100,M10,long,5,0.5,2,confirm,2.5R,95,0.2736842105263158,-0.28517940430045874,-27.092043408543578,0.612255206717905,-0.3946226646832256,0.007166171463724491,-0.41795259502265847,-0.18437012986323292,41,54
US100,M10,long,5,0.5,2,confirm,3.5R,93,0.25806451612903225,-0.28823683371290815,-26.806025535300456,0.6163487311325552,-0.3977735582476646,0.007195607154988253,-0.43547759011965037,-0.1721431603922075,41,52
US100,M10,long,5,0.5,2,confirm,measured,98,0.5306122448979592,-0.16386529258080088,-16.058798672918485,0.6477585890551706,-0.27044458638514357,0.0073709692891589474,-0.09335695904217853,-0.2189899897109965,43,55
US100,M10,long,5,0.5,3,touch,1.5R,11,0.36363636363636365,-0.09090909090909091,-1.0,0.8571428571428571,-0.21308448520233975,0.005139727203491407,0.25,-0.2857142857142857,4,7
US100,M10,long,5,0.5,3,touch,2.5R,11,0.2727272727272727,-0.24742048478522705,-2.7216253326374975,0.6597968334203128,-0.3695958790784758,0.005139727203491407,-0.6804063331593744,0.0,4,7
US100,M10,long,5,0.5,3,touch,3.5R,11,0.18181818181818182,-0.5883530897261787,-6.471883986987966,0.2809017792235593,-0.7105284840194275,0.005139727203491407,-0.6804063331593744,-0.5357512363357813,4,7
US100,M10,long,5,0.5,3,touch,measured,11,0.36363636363636365,-0.3464595070599726,-3.8110545776596987,0.45556363176290027,-0.4686349013532214,0.005139727203491407,-0.11410634383724244,-0.47923274318724696,4,7
US100,M10,long,5,0.5,3,confirm,1.5R,7,0.2857142857142857,-0.285714285714287,-2.000000000000009,0.5999999999999982,-0.3752185378850162,0.006959201940946657,-0.16666666666666954,-0.375,3,4
US100,M10,long,5,0.5,3,confirm,2.5R,7,0.2857142857142857,-0.3426211400508813,-2.398347980356169,0.5203304039287662,-0.43212539222161045,0.006959201940946657,-0.632782660118723,-0.125,3,4
US100,M10,long,5,0.5,3,confirm,3.5R,7,0.2857142857142857,-0.3799503456101569,-2.659652419271098,0.46806951614578035,-0.46945459778088605,0.006959201940946657,-0.632782660118723,-0.19032610972873232,3,4
US100,M10,long,5,0.5,3,confirm,measured,7,0.5714285714285714,-0.13512607603579105,-0.9458825322505373,0.6847058225831542,-0.22463032820652032,0.006959201940946657,-0.013373722162634993,-0.2264403414406581,3,4
US100,M10,long,5,1.0,2,touch,1.5R,186,0.3709677419354839,-0.0969663875475248,-18.035748083839614,0.8463888117636369,-0.23610369216169266,0.005698153388693832,-0.08133720143149209,-0.11130656862305999,89,97
US100,M10,long,5,1.0,2,touch,2.5R,176,0.2840909090909091,-0.132323751797548,-23.288980316368445,0.8138753604850566,-0.2724463213558969,0.0056387196694183935,-0.11788647295319667,-0.14550561509021656,84,92
US100,M10,long,5,1.0,2,touch,3.5R,174,0.25862068965517243,-0.09304576309748383,-16.189962778962187,0.8753419636141055,-0.23344780325228726,0.0056539164823204814,-0.10108472795363177,-0.08554272923174576,84,90
US100,M10,long,5,1.0,2,touch,measured,197,0.5380710659898477,-0.05054771466583764,-9.957899789170016,0.8913843786036028,-0.18794526473126866,0.005660815913762231,-0.009940139022766789,-0.0891450142869743,96,101
US100,M10,long,5,1.0,2,confirm,1.5R,148,0.33783783783783783,-0.19412375965645728,-28.73031642915568,0.7074530815210803,-0.3132653926772816,0.006622870358620628,-0.16622709747995187,-0.21719877651850497,67,81
US100,M10,long,5,1.0,2,confirm,2.5R,141,0.28368794326241137,-0.1862526274915196,-26.261620476304266,0.7412652999473389,-0.3073915215647514,0.006511684419293618,-0.2153675875925246,-0.1627366981791694,63,78
US100,M10,long,5,1.0,2,confirm,3.5R,139,0.2589928057553957,-0.13346618932939192,-18.551800316785474,0.820755876598002,-0.2552374526596502,0.00648543788735295,-0.03775339115218324,-0.21280706150260434,63,76
US100,M10,long,5,1.0,2,confirm,measured,154,0.551948051948052,-0.1486581761968839,-22.89335913432012,0.6723150683988997,-0.26752415032052124,0.006572194604609841,-0.0972584943314801,-0.19378960417626284,72,82
US100,M10,long,5,1.0,3,touch,1.5R,27,0.25925925925925924,-0.3518518518518522,-9.500000000000009,0.5249999999999996,-0.48525356965521177,0.005698445513301631,-0.5,-0.16666666666666738,15,12
US100,M10,long,5,1.0,3,touch,2.5R,27,0.2222222222222222,-0.39030150877600045,-10.538140736952013,0.49818377443085654,-0.52370322657936,0.005698445513301631,-0.7389137096332308,0.0454637422955374,15,12
US100,M10,long,5,1.0,3,touch,3.5R,27,0.18518518518518517,-0.5254148823208025,-14.186201822661666,0.3551726444244698,-0.6588166001241619,0.005698445513301631,-0.7389137096332308,-0.2585413481802669,15,12
US100,M10,long,5,1.0,3,touch,measured,27,0.3333333333333333,-0.38421971170316194,-10.373932215985372,0.4236704324452572,-0.5176214295065215,0.005698445513301631,-0.3804278569575665,-0.3889595301351562,15,12
US100,M10,long,5,1.0,3,confirm,1.5R,15,0.2,-0.5000000000000006,-7.500000000000009,0.3749999999999993,-0.603768024539574,0.007697897341375982,-0.3750000000000011,-0.6428571428571429,8,7
US100,M10,long,5,1.0,3,confirm,2.5R,15,0.2,-0.5420032494302708,-8.130048741454061,0.32249593821216155,-0.6457712739698444,0.007697897341375982,-0.5787560926817577,-0.5,8,7
US100,M10,long,5,1.0,3,confirm,3.5R,15,0.2,-0.5594235453579327,-8.391353180368991,0.30072056830258415,-0.6631915698975063,0.007697897341375982,-0.5787560926817577,-0.5373292055592757,8,7
US100,M10,long,5,1.0,3,confirm,measured,14,0.35714285714285715,-0.4459541618485483,-6.243358265879676,0.3062935260133693,-0.5538527926321839,0.007470327787868272,-0.3339424143024348,-0.5579659093946618,7,7
US100,M10,short,3,0.5,2,touch,1.5R,230,0.43043478260869567,0.05035889254360564,11.582545285029298,1.0853661513747819,-0.14468912481352936,0.003981096210832394,0.07113908046469021,0.033206991402392964,104,126
US100,M10,short,3,0.5,2,touch,2.5R,224,0.32142857142857145,0.1026744585762471,22.99907872107935,1.1486071911537972,-0.09427869696906117,0.003930483130738881,0.16353224464849667,0.05359559884056195,100,124
