symbol,tf,direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,H2,short,major,1,none,True,next_open,2.5,70,0.18571428571428572,-0.35955435516542794,-25.168804861579957,0.5635629189473997,32.5,57.66880486157996,0.0027838769828312146,-18.668804861579957,-6.5,32,38
US100,H2,short,major,1,none,True,next_open,3.5,70,0.15714285714285714,-0.30241149802257083,-21.168804861579957,0.6452282744612118,38.5,59.66880486157996,0.0027838769828312146,-19.168804861579957,-2.0,32,38
US100,H2,short,major,1,none,True,break,1.5,47,0.23404255319148937,-0.42332340425531817,-19.896199999999954,0.4533440304207588,16.5,36.39619999999995,0.004478886187953062,-14.896199999999954,-5.0,22,25
US100,H2,short,major,1,none,True,break,2.5,47,0.2127659574468085,-0.2637489361702118,-12.396199999999954,0.668517122060531,25.0,37.39619999999995,0.004478886187953062,-15.396199999999954,3.0,22,25
US100,H2,short,major,1,none,True,break,3.5,47,0.14893617021276595,-0.33821702127659475,-15.896199999999954,0.6064926899064771,24.5,40.39619999999995,0.004478886187953062,-13.396199999999954,-2.5,22,25
US100,H2,short,major,1,1.0,False,next_open,1.5,97,0.25773195876288657,-0.36721867537315805,-35.62021151119633,0.5128540963569002,37.5,73.12021151119633,0.002472326455959787,-25.168804861579957,-10.451406649616377,47,50
US100,H2,short,major,1,1.0,False,next_open,2.5,97,0.21649484536082475,-0.25381661351748797,-24.620211511196334,0.6807553943544105,52.5,77.12021151119633,0.002472326455959787,-23.168804861579957,-1.451406649616377,47,50
US100,H2,short,major,1,1.0,False,next_open,3.5,97,0.17525773195876287,-0.2228887784659416,-21.620211511196334,0.7334793498632302,59.5,81.12021151119633,0.002472326455959787,-25.168804861579957,3.548593350383623,47,50
US100,H2,short,major,1,1.0,False,break,1.5,63,0.2698412698412698,-0.3316857142857136,-20.896199999999954,0.5496139770067382,25.5,46.39619999999995,0.004354446704003787,-18.896199999999954,-2.0,31,32
US100,H2,short,major,1,1.0,False,break,2.5,63,0.2222222222222222,-0.2285111111111104,-14.396199999999954,0.7085565286398556,35.0,49.39619999999995,0.004354446704003787,-24.396199999999954,10.0,31,32
US100,H2,short,major,1,1.0,False,break,3.5,63,0.1746031746031746,-0.22057460317460245,-13.896199999999954,0.7347861104431245,38.5,52.39619999999995,0.004354446704003787,-22.396199999999954,8.5,31,32
US100,H2,short,major,1,1.0,True,next_open,1.5,67,0.22388059701492538,-0.45028066957582025,-30.168804861579957,0.42719784622287793,22.5,52.66880486157996,0.002649349373743314,-19.168804861579957,-11.0,31,36
US100,H2,short,major,1,1.0,True,next_open,2.5,67,0.1791044776119403,-0.38311649047134266,-25.668804861579957,0.5389014561134331,30.0,55.66880486157996,0.002649349373743314,-21.168804861579957,-4.5,31,36
US100,H2,short,major,1,1.0,True,next_open,3.5,67,0.14925373134328357,-0.33834037106835757,-22.668804861579957,0.6069139127125844,35.0,57.66880486157996,0.002649349373743314,-22.668804861579957,0.0,31,36
US100,H2,short,major,1,1.0,True,break,1.5,45,0.2222222222222222,-0.45324888888888787,-20.396199999999954,0.4237743034563038,15.0,35.39619999999995,0.004375282739911679,-16.396199999999954,-4.0,21,24
US100,H2,short,major,1,1.0,True,break,2.5,45,0.2,-0.30880444444444344,-13.896199999999954,0.6181964051192166,22.5,36.39619999999995,0.004375282739911679,-17.896199999999954,4.0,21,24
US100,H2,short,major,1,1.0,True,break,3.5,45,0.13333333333333333,-0.4088044444444434,-18.396199999999954,0.533046334418041,21.0,39.39619999999995,0.004375282739911679,-16.896199999999954,-1.5,21,24
US100,H2,short,major,2,none,False,next_open,1.5,116,0.25,-0.3846569957861753,-44.62021151119633,0.49364384463004835,43.5,88.12021151119633,0.0027405041242127733,-23.168804861579957,-21.451406649616377,55,61
US100,H2,short,major,2,none,False,next_open,2.5,116,0.20689655172413793,-0.28551906475169253,-33.12021151119633,0.6443284333904878,60.0,93.12021151119633,0.0027405041242127733,-20.668804861579957,-12.451406649616377,55,61
US100,H2,short,major,2,none,False,next_open,3.5,116,0.16379310344827586,-0.2725880302689339,-31.620211511196334,0.6777400800079991,66.5,98.12021151119633,0.0027405041242127733,-24.168804861579957,-7.451406649616377,55,61
US100,H2,short,major,2,none,False,break,1.5,75,0.26666666666666666,-0.33861599999999936,-25.396199999999954,0.541553391748893,30.0,55.39619999999995,0.00446883218038619,-18.396199999999954,-7.0,38,37
US100,H2,short,major,2,none,False,break,2.5,75,0.22666666666666666,-0.2119493333333327,-15.896199999999954,0.7277870820361605,42.5,58.39619999999995,0.00446883218038619,-20.896199999999954,5.0,38,37
US100,H2,short,major,2,none,False,break,3.5,75,0.17333333333333334,-0.22528266666666605,-16.896199999999954,0.7292110737512867,45.5,62.39619999999995,0.00446883218038619,-20.396199999999954,3.5,38,37
US100,H2,short,major,2,none,True,next_open,1.5,81,0.20987654320987653,-0.4835654921182711,-39.16880486157996,0.39431685887162066,25.5,64.66880486157996,0.002925377918680357,-19.168804861579957,-20.0,36,45
US100,H2,short,major,2,none,True,next_open,2.5,81,0.1728395061728395,-0.40331857853802416,-32.66880486157996,0.5172250355476842,35.0,67.66880486157996,0.002925377918680357,-19.168804861579957,-13.5,36,45
US100,H2,short,major,2,none,True,next_open,3.5,81,0.14814814814814814,-0.3415901834762958,-27.668804861579957,0.6028523107787889,42.0,69.66880486157996,0.002925377918680357,-18.668804861579957,-9.0,36,45
