family,symbol,tf,direction,p1,p2,p3,p4,p5,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos
A.ORB,US100,M5,long,NY,or60,buf0.0,half,3.5R,231,0.4329004329004329,0.0010255178122093713,0.23689461462036476,1.0020829633868882,-0.15842092914807837,0.003918450760480551,-0.05177918412789894,0.05811168207178593,2
A.ORB,US100,M5,short,NY,or60,buf0.0,half,3.5R,199,0.2964824120603015,-0.1387404337051435,-27.609346307323555,0.7798097558576083,-0.29685507136371586,0.004182478724511912,-0.1634202910919126,-0.11330507048000389,0
A.ORB,US100,M5,long,NY,or60,buf0.0,half,eod,231,0.4329004329004329,0.017251979095929158,3.9852071711596357,1.0350410693801206,-0.14219446786435855,0.003918450760480551,-0.01685058492399214,0.054119615874222454,3
A.ORB,US100,M5,short,NY,or60,buf0.0,half,eod,199,0.2864321608040201,-0.16641065422670048,-33.1157201911134,0.7405034584001874,-0.32452529188527285,0.004182478724511912,-0.1620962833351461,-0.1708570976965678,0
A.ORB,US100,M5,long,NY,or60,buf0.1,opp,1.5R,229,0.5283842794759825,0.0038624509435145876,0.8845012660648406,1.0139543529263038,-0.07427453631501708,0.007986629962029613,-0.03491744480113928,0.046555914148638106,2
A.ORB,US100,M5,short,NY,or60,buf0.1,opp,1.5R,192,0.453125,0.04783247036612753,9.183834310296486,1.146831879009971,-0.03004308719388989,0.008474933834027728,0.008790776050306356,0.08853551337623897,3
A.ORB,US100,M5,long,NY,or60,buf0.1,opp,2.5R,229,0.5283842794759825,0.0054365020294161,1.2449589647362869,1.0196411214310488,-0.07270048522911557,0.007986629962029613,-0.027235403045287383,0.0414055718364291,2
A.ORB,US100,M5,short,NY,or60,buf0.1,opp,2.5R,192,0.4375,-0.0023466969914210517,-0.4505658223528419,0.9930157594843174,-0.08022225455143848,0.008474933834027728,-0.045944430976734424,0.043106259716671626,2
A.ORB,US100,M5,long,NY,or60,buf0.1,opp,3.5R,229,0.5283842794759825,0.00967123576987863,2.214712991302206,1.0349404663360147,-0.06846575148865303,0.007986629962029613,-0.01915411949057139,0.0414055718364291,2
A.ORB,US100,M5,short,NY,or60,buf0.1,opp,3.5R,192,0.4322916666666667,-0.001918063532509807,-0.36826819824188295,0.9943785961809879,-0.07979362109252726,0.008474933834027728,-0.02553626771142829,0.022705170611469035,2
A.ORB,US100,M5,long,NY,or60,buf0.1,opp,eod,229,0.5283842794759825,0.01334482808041658,3.055965630415397,1.04821250638475,-0.06479215917811508,0.007986629962029613,-0.012143680831294804,0.0414055718364291,3
A.ORB,US100,M5,short,NY,or60,buf0.1,opp,eod,192,0.4322916666666667,0.04781518224420036,9.180514990886468,1.1401353206077538,-0.030060375315817105,0.008474933834027728,-0.043624307286690825,0.14314571388278904,2
A.ORB,US100,M5,long,NY,or60,buf0.1,half,1.5R,229,0.45414847161572053,-0.03781341804359516,-8.659272731983291,0.9217850944537022,-0.19059187596198704,0.0040764643162639795,-0.08356706060653606,0.01255756459450491,1
A.ORB,US100,M5,short,NY,or60,buf0.1,half,1.5R,192,0.3854166666666667,-0.06798011034375447,-13.052181186000858,0.8779767973387865,-0.22020683224955281,0.00432327898170587,-0.045556819050465075,-0.09135758424526898,1
A.ORB,US100,M5,long,NY,or60,buf0.1,half,2.5R,229,0.4410480349344978,-0.039013833675227726,-8.93416791162715,0.9208970531643538,-0.1917922915936196,0.0040764643162639795,-0.0862445426322012,0.012983277103091724,2
A.ORB,US100,M5,short,NY,or60,buf0.1,half,2.5R,192,0.3177083333333333,-0.1351781683651182,-25.954208326102695,0.7778986487036648,-0.2874048902709166,0.00432327898170587,-0.14116658890332917,-0.12893492142102594,0
A.ORB,US100,M5,long,NY,or60,buf0.1,half,3.5R,229,0.4366812227074236,-0.047295084798389044,-10.830574418831091,0.9049478967285335,-0.20007354271678093,0.0040764643162639795,-0.12405161124941477,0.03720751312934577,2
A.ORB,US100,M5,short,NY,or60,buf0.1,half,3.5R,192,0.3125,-0.13020536252601156,-24.99942960499422,0.7870451989075796,-0.28243208443180995,0.00432327898170587,-0.14655482640684225,-0.11316017677791149,0
A.ORB,US100,M5,long,NY,or60,buf0.1,half,eod,229,0.4366812227074236,-0.024068199632922577,-5.51161771593927,0.9516285253146486,-0.17684665755131448,0.0040764643162639795,-0.07176829981295674,0.02844567212491323,2
A.ORB,US100,M5,short,NY,or60,buf0.1,half,eod,192,0.3020833333333333,-0.1592390398762814,-30.57389565624603,0.7443780832481125,-0.3114657617820798,0.00432327898170587,-0.1560197997862475,-0.16259526890631681,0
B.GAP,US100,M5,fade,cash,g0.5,sl0.75,fill,,351,0.4472934472934473,0.004865878187934486,1.7079232439650047,1.0095703819647674,-0.2525210348399127,0.004883288171324774,0.04720364906175163,-0.036282629459090054,3
B.GAP,US100,M5,fade,cash,g0.5,sl0.75,half,,351,0.5584045584045584,-0.05020745676097999,-17.622817323103977,0.877053246427397,-0.3075943697888271,0.004883288171324774,-0.00891471806550322,-0.0903402870661344,0
B.GAP,US100,M5,follow,cash,g0.5,sl0.75,1.5R,,351,0.39316239316239315,-0.07513647232641836,-26.372901786572843,0.8672163073256858,-0.3325233853542655,0.004883288171324774,-0.1450846813326929,-0.007153100651780735,1
