Date,Open,High,Low,Close,Volume
2006-02-17,18.362803,18.392929,18.176573,18.176573,197700
2006-02-21,18.108107,18.171096,17.779465,17.828762,663300
2006-02-22,17.768521,18.072514,17.620632,17.993092,2075100
2006-02-23,17.924620,18.001302,17.798641,17.798641,1335300
2006-02-24,17.787684,17.910924,17.724695,17.834242,1876800
2006-02-27,17.809598,17.979396,17.809598,17.910929,335700
2006-02-28,17.883548,18.017744,17.727445,17.790434,2030400
2006-03-01,17.984877,18.538090,17.984877,18.477839,735300
2006-03-02,18.409372,18.661329,18.349119,18.507963,541500
2006-03-03,18.450454,18.573694,18.283394,18.286133,387900
2006-03-06,18.351870,18.387472,18.045138,18.113605,200100
2006-03-07,17.850670,17.897227,17.571326,17.628838,546600
2006-03-08,17.568595,17.664449,17.322114,17.560379,1535100
2006-03-09,17.595986,17.779476,17.319379,17.322117,235200
2006-03-10,17.275556,17.502866,17.168749,17.264601,2356500
2006-03-13,17.330323,17.431655,17.193390,17.193390,230400
2006-03-14,17.193396,17.642539,17.193396,17.590504,1035300
2006-03-15,17.773999,17.826034,17.634327,17.793171,158700
2006-03-16,17.801391,17.809605,17.324860,17.324860,690000
2006-03-17,17.283770,17.431658,17.138620,17.330326,708600
2006-03-20,17.352236,17.469998,17.289246,17.360451,479700
2006-03-21,17.360456,17.787690,17.319377,17.363195,2416200
2006-03-22,17.311160,17.434400,17.237216,17.365934,640800
2006-03-23,17.409757,17.595988,17.409757,17.519304,402900
2006-03-24,17.552162,17.727439,17.494650,17.721960,331800
2006-03-27,17.738393,17.839723,17.675402,17.697313,2412300
2006-03-28,17.664451,17.746611,17.365936,17.382368,456300
2006-03-29,17.294727,17.927361,17.294727,17.864372,1086900
2006-03-30,18.102637,18.130025,17.869850,17.954748,413100
2006-03-31,18.028691,18.064296,17.771256,17.853416,279900
2006-04-03,17.834244,18.212181,17.834244,17.979393,858000
2006-04-04,18.039652,18.160153,17.962969,18.036913,305700
2006-04-05,18.099902,18.450452,18.075254,18.403894,267300
2006-04-06,18.398413,18.702405,18.398413,18.601074,734700
2006-04-07,18.669548,18.718843,18.231360,18.286133,426900
2006-04-10,18.228611,18.247781,17.979392,18.058813,414900
2006-04-11,18.127286,18.173844,17.754826,17.880804,802200
2006-04-12,17.902719,18.113597,17.902719,18.036913,239700
2006-04-13,18.047865,18.286129,18.047865,18.116331,219900
2006-04-17,18.184802,18.266963,17.774001,17.875332,566400
2006-04-18,17.943792,18.488787,17.943792,18.439491,478800
2006-04-19,18.469616,18.664063,18.371025,18.647631,772500
2006-04-20,18.603810,19.006394,18.590116,18.735266,502200
2006-04-21,18.696919,18.724306,18.209436,18.310766,454200
2006-04-24,18.138240,18.305299,18.061557,18.261480,445200
2006-04-25,18.305297,18.398411,18.206704,18.324467,720600
2006-04-26,18.376499,18.428534,18.143711,18.231350,383400
2006-04-27,17.973921,18.576430,17.973921,18.453188,424800
2006-04-28,18.401151,18.540823,18.256000,18.272432,333600
2006-05-01,18.288867,18.349116,18.097159,18.102636,210600
2006-05-02,18.206705,18.332684,18.171102,18.258739,320400
2006-05-03,18.239562,18.431268,18.182049,18.423052,233700
2006-05-04,18.494270,18.710624,18.494270,18.628464,322500
2006-05-05,18.790033,18.814680,18.647622,18.765385,167100
2006-05-08,18.806477,18.883160,18.724318,18.724318,302100
2006-05-09,18.655854,18.664070,18.505226,18.546307,1642800
2006-05-10,18.466882,18.538087,18.113593,18.157412,791700
2006-05-11,18.077979,18.102628,17.642531,17.683611,1251000
2006-05-12,17.527519,17.787694,17.475486,17.527519,2131200
2006-05-15,17.513823,17.637063,17.133146,17.365934,2332800
2006-05-16,17.368666,17.513817,17.149573,17.281029,1064400
2006-05-17,17.182443,17.286513,16.897621,16.993473,1345200
2006-05-18,17.119449,17.182440,16.722342,16.722342,412200
2006-05-19,16.979780,17.133144,16.774379,17.042768,698400
2006-05-22,16.809982,16.897621,16.401920,16.621014,791700
2006-05-23,16.837367,16.946914,16.393701,16.396441,315600
2006-05-24,16.393704,16.697697,16.177349,16.500511,897600
2006-05-25,16.593625,16.607318,16.432044,16.549807,621600
2006-05-26,16.568982,16.725085,16.536117,16.662096,514200
2006-05-30,16.599099,16.599099,16.281414,16.281414,374400
2006-05-31,16.380010,16.618275,16.341668,16.541592,323100
2006-06-01,16.574457,16.930486,16.574457,16.925009,278700
2006-06-02,17.103018,17.103018,16.749729,16.892139,154200
2006-06-05,16.837366,16.837366,16.390963,16.390963,331800
2006-06-06,16.412869,16.412869,16.207468,16.311537,194400
2006-06-07,16.275938,16.380008,15.952776,15.952776,265200
2006-06-08,15.821319,15.982901,15.468032,15.859661,553800
2006-06-09,16.073284,16.188308,15.700824,15.774769,407400
2006-06-12,15.810361,15.837748,15.322877,15.322877,333900
2006-06-13,15.500899,15.621400,15.237986,15.281805,378300
2006-06-14,15.492685,15.613186,15.328366,15.528288,733200
2006-06-15,15.761068,16.188301,15.761068,16.128050,555000
2006-06-16,16.045887,16.067796,15.829531,15.944556,177600
2006-06-19,16.013020,16.026713,15.747370,15.804882,296400
2006-06-20,15.796676,15.928133,15.635094,15.709039,325500
2006-06-21,15.777502,16.199258,15.777502,16.056847,380100
